,query_coords,latitude,longitude,formatted_address,metro_area_name,metro_area_code,metro_area_type,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacificislander_percent,native_percent
41,"42.1006,-91.7772",42.100737,-91.777257,"3277 Daec Rd, Palo, IA 52324","Cedar Rapids, IA",16300,metropolitan,19,19113,010600,1033,191130106001033,878.0,0.912,346800.0,86023.0,49.4,2211.0,0.529,0.471,1.0,0.0,0.95,0.004,0.009,0.0,0.0
42,"42.4461,-87.8028",42.449721,-87.804671,"199 Shiloh Blvd, Zion, IL 60099","Chicago-Naperville-Elgin, IL-IN",16980,metropolitan,17,17097,860104,2054,170978601042054,559.0,0.962,147200.0,61667.0,51.9,953.0,0.502,0.498,0.974,0.026,0.947,0.019,0.0,0.0,0.0
43,"41.7264,-90.31",41.728535,-90.309811,"22500 206th Ave N, Cordova, IL 61242","Davenport-Moline-Rock Island, IA-IL",19340,metropolitan,17,17161,020103,1006,171610201031006,423.0,0.927,219000.0,82500.0,50.8,848.0,0.533,0.467,0.983,0.017,0.962,0.0,0.017,0.0,0.0
44,"41.2456,-88.6692",41.238185,-88.667306,"2567 N 21st Rd, Marseilles, IL 61341","Ottawa, IL",36837,micropolitan,17,17099,963700,4116,170999637004116,420.0,0.988,265500.0,91075.0,41.7,1019.0,0.518,0.482,1.0,0.0,0.995,0.0,0.0,0.0,0.0
45,"41.3894,-88.2533",41.392678,-88.25119,"26960 S River Bluff Rd, Minooka, IL 60447","Chicago-Naperville-Elgin, IL-IN",16980,metropolitan,17,17063,000103,4002,170630001034002,603.0,1.0,359700.0,117188.0,36.2,1794.0,0.492,0.508,0.851,0.149,0.988,0.0,0.0,0.0,0.005
46,"42.0742,-89.2819",42.077104,-89.277259,"4000 N German Church Rd, Byron, IL 61010","Rochelle, IL",40300,micropolitan,17,17141,961302,2029,171419613022029,354.0,0.96,228800.0,107385.0,53.4,959.0,0.454,0.546,1.0,0.0,0.925,0.075,0.0,0.0,0.0
47,"41.2436,-88.2292",41.245833,-88.234673,"35132 State Rte 53, Braceville, IL 60407","Chicago-Naperville-Elgin, IL-IN",16980,metropolitan,17,17197,884004,2020,171978840042020,720.0,0.969,218200.0,79865.0,52.3,1692.0,0.564,0.436,0.969,0.031,0.979,0.0,0.004,0.0,0.0
48,"33.1433,-81.7606",33.126028,-81.755197,"8801 River Rd, Waynesboro, GA 30830","Augusta-Richmond County, GA-SC",12260,metropolitan,13,13033,950102,2032,130339501022032,567.0,0.933,97400.0,85075.0,58.0,1165.0,0.523,0.477,1.0,0.0,0.627,0.303,0.0,0.0,0.0
49,"25.4342,-80.3306",25.435159,-80.331211,"9700 SW 344th St, Homestead, FL 33035","Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,12,12086,981200,1015,120869812001015,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"27.3486,-80.2464",27.347842,-80.246193,"6501 S Ocean Dr, Jensen Beach, FL 34957","Port St. Lucie, FL",38940,metropolitan,12,12111,381702,1000,121113817021000,463.0,0.408,263400.0,58295.0,67.8,298.0,0.43,0.57,1.0,0.0,0.95,0.0,0.0,0.0,0.0
51,"28.9575,-82.5633",28.957199,-82.563287,"6538 N Oakfield Pt, Dunnellon, FL 34433","Homosassa Springs, FL",26140,metropolitan,12,12017,450308,3006,120174503083006,1219.0,0.897,343000.0,94353.0,54.4,2992.0,0.467,0.533,0.961,0.039,0.958,0.027,0.015,0.0,0.0
52,"41.3119,-72.1686",41.314931,-72.159454,"11 Gun Shot Rd, Waterford, CT 06385","Norwich-New London-Willimantic, CT",35980,metropolitan,09,09180,693300,3041,091806933003041,858.0,0.756,326400.0,94141.0,57.3,1410.0,0.482,0.518,0.977,0.023,0.925,0.004,0.041,0.0,0.0
53,"33.3689,-117.555",33.370736,-117.552793,"I-5, San Clemente, CA 92672","San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,06,06073,018700,1266,060730187001266,7856.0,0.89,-666666666.0,62998.0,21.6,40481.0,0.691,0.309,0.657,0.343,0.7,0.126,0.064,0.006,0.018
54,"35.2108,-120.8561",35.211882,-120.854642,"3886 Diablo Canyon Rd, San Luis Obispo, CA 93405","San Luis Obispo-Paso Robles, CA",42020,metropolitan,06,06079,011600,2049,060790116002049,596.0,0.878,1958300.0,162375.0,53.8,1238.0,0.588,0.412,0.981,0.019,0.991,0.0,0.0,0.0,0.0
