,Site,State,Storage,Type,Dry_Assy,Dry_IU,Casks,Pool_Assy,Pool_IU,Site_Assy,Site_IU,Urban_Rural,query_coords,latitude,longitude,formatted_address,state_abbrev,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacific_percent,native_percent,missing_race,county_data
60,Palo Verde,Arizona,Dry/Wet,NPP,4314,1847.27,170,2511,1092.68,6825,2939.95,Rural,"33.4025,-112.8556",33.400441,-112.858636,"5625 W Palo Verde 4 Entr, Tonopah, AZ 85354",AZ,4,4013,50603,2066,4.01305E+13,956,0.95,260000,68843,35.4,2783,0.55,0.45,0.67,0.33,0.96,0.01,0,0,0.02,0.01,0
61,Lacrosse,Wisconsin,Dry,ISFSI,333,37.97,5,,,333,37.97,Mixed,"43.56,-91.2314",43.559383,-91.230257,"S4651 State Highway 35, Genoa, WI 54632",WI,55,55123,960700,3056,551240000000000.0,290,0.9,167900,72500,48.6,581,0.56,0.44,1,0,0.9,0.01,0,0,0,0.09,0
62,Trojan,Oregon,Dry,ISFSI,790,359.26,34,,,790,359.26,Mixed,"46.0383,-122.885",46.037932,-122.889417,"71760 Columbia River Hwy, Rainier, OR 97048",OR,41,41009,970300,4039,410100000000000.0,506,0.99,358100,77321,60.6,1113,0.48,0.52,0.96,0.04,0.96,0,0,0,0.02,0.02,0
63,Big Rock Point,Michigan,Dry,ISFSI,441,57.91,7,,,441,57.91,Mixed,"45.3589,-85.1972 ",45.3589,-85.1972,9798 US-31,MI,26,26029,400,3020,260290000000000.0,580,86923,240800,67099,54.3,1209,0.55,0.45,0.99,0.01,0.94,0,0.02,0,0,0.04,0
64,Yankee Row,Massachusetts,Dry,ISFSI,533,127.13,15,,,533,127.13,Rural,"42.7292,-72.9253",42.731317,-72.931276,"38 Readsboro Rd, Monroe Bridge, MA 01350",MA,25,25011,40100,1008,250110000000000.0,665,0.79,269300,67981,50.7,1165,0.52,0.48,0.98,0.02,0.93,0,0,0,0,0.07,0
65,Maine Yankee,Maine,Dry,ISFSI,1434,542.26,60,,,1434,542.26,Rural,"43.9506,-69.6958",43.9506,-69.6958,98 Ready Pt Rd,ME,23,23015,975500,4027,230160000000000.0,264,104314,540600,39221,46.6,939,0.65,0.35,1,0,0.98,0,0,0,0.01,0.01,0
66,Morris,Illinois,Wet,ISFSI,,,,,,,,Mixed,"41.3894,-88.2533",41.392678,-88.25119,"26960 S River Bluff Rd, Minooka, IL 60447",IL,17,17063,103,4002,170630000000000.0,603,1,359700,117188,36.2,1794,0.49,0.51,0.85,0.15,0.99,0,0,0,0.01,0,0
67,Morris,Illinois,Wet,ISFSI,,,,,,,,Mixed,"41.3897,-88.2681",41.388328,-88.26856,"6969 N Dresden Rd, Morris, IL 60450",IL,17,17063,700,1013,170630000000000.0,769,0.75,430900,139306,45.4,1340,0.53,0.47,0.95,0.05,1,0,0,0,0,0,0
68,Haddam Neck,Connecticut,Dry,ISFSI,1019,413.66,40,,,1019,413.66,Mixed,"41.4822,-72.4983",41.48201,-72.498003,"298 Canal Rd, East Hampton, CT 06424",CT,9,9130,590101,3009,9.13059E+13,841,0.83,349100,115807,50,1818,0.46,0.54,0.95,0.05,0.91,0.01,0.03,0,0,0.05,0
69,Humboldt Bay,California,Dry,ISFSI,390,28.94,5,,,390,28.94,Mixed,"40.7411,-124.2089",40.740691,-124.210478,"1000 King Salmon Ave, Eureka, CA 95503",CA,6,6023,10702,1009,6.02301E+13,398,0.79,341200,403700,29.3,723,0.47,0.53,1,0,0.9,0.1,0,0,0,0,0
70,Hanford Site,Washington,Dry/Wet,Government Facility/Multiple,,,,,,,,Missing,"46.6475,-119.5986",46.6475,-119.5986,"Mattawa, WA 99349",WA,53,53005,12000,1002,530050000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
71,Oak Ridge Reservation,Tennessee,Wet,Government Facility/Multiple,,,,,,,,Rural,"35.93,-84.31",35.931189,-84.310014,"1 Bethel Valley Rd, Oak Ridge, TN 37830",TN,47,47145,980100,1041,471460000000000.0,3088,0.97,242700,98317,46.5,7370,0.54,0.46,0.99,0.01,0.9,0.02,0.01,0,0,0.07,1
72,Sandia National Lab,New Mexico,Dry,Government Facility/Multiple,,,,,,,,Missing,"35.06,-105.5358",35.06,-105.5358,"Clines Corners, NM 87070",NM,35,35047,957700,1205,350480000000000.0,703,0.89,75400,27564,41.2,1615,0.56,0.44,0.47,0.53,0.31,0,0,0,0.02,0.67,0
73,Idaho National Lab,Idaho,Dry/Wet,Government Facility/Multiple,,,,,,,,Rural,"43.5208,-76.4069",43.521247,-76.404261,"348 Lake Rd, Oswego, NY 13126",NY,36,36075,21504,1008,360750000000000.0,440,0.7,91400,54554,38.5,604,0.37,0.63,0.99,0.01,0.97,0,0.03,0,0,0,0
74,Idaho National Lab,Idaho,Dry/Wet,Government Facility/Multiple,,,,,,,,Rural,"43.5233,-76.3983",43.521832,-76.395782,"268 Lake Rd, Oswego, NY 13126",NY,36,36075,21504,1002,360750000000000.0,440,0.7,91400,54554,38.5,604,0.37,0.63,0.99,0.01,0.97,0,0.03,0,0,0,0
75,Idaho National Lab,Idaho,Dry/Wet,Government Facility/Multiple,,,,,,,,Rural,"43.52,-112.5986",43.52,-112.5986,"Atomic City, ID 83215",ID,16,16011,950300,1014,160120000000000.0,377,0.81,267600,64741,35.2,831,0.53,0.47,0.92,0.08,0.92,0,0,0,0,0.08,0
