index,Urban_Rural,occupied_percent,house_value_median,household_income_median,age_median,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacific_percent,native_percent,missing_race,county_data,median_family_percent,site
,Rural,0.519,25559,40000,61.7,0.513,0.487,0.994,0.006,0.927,0.004,0,0,0.057,0.012,0,74.52,0
,Mixed,0.974,53936,110625,55.1,0.544,0.456,1,0,0.985,0.015,0,0,0,0,0,118.11,0
,Rural,0.846,29681,71213,35,0.47,0.53,0.957,0.043,0.972,0,0.004,0.01,0,0.014,0,89.68,0
,Rural,0.593,21136,75833,46.6,0.526,0.474,0.962,0.038,0.965,0,0,0,0.018,0.017,0,107.52,0
,Rural,0.932,24561,49307,43.3,0.487,0.513,1,0,0.501,0.226,0,0,0,0.273,0,94.01,0
,Rural,0.874,86883,80417,51.1,0.517,0.483,0.997,0.003,0.959,0.002,0.018,0,0.001,0.02,0,119.53,0
,Rural,0.473,-222222222,63352,44.2,0.597,0.403,0.365,0.635,0.788,0.108,0,0,0.1,0.004,0,60.01,0
,Rural,0.327,-222222222,20870,64.5,0.559,0.441,0.763,0.237,1,0,0,0,0,0,0,95.44,0
,Mixed,0.979,32543,120884,47.2,0.516,0.484,0.981,0.019,0.994,0,0.001,0,0,0.005,0,117.67,0
,Rural,0.848,66484,59859,31.8,0.508,0.492,0.871,0.129,0.938,0,0,0,0,0.062,0,71.62,0
,Mixed,0.986,45091,89797,43.3,0.522,0.478,0.937,0.063,0.946,0.01,0.003,0,0,0.041,0,143.13,0
,Rural,0.869,103776,136250,50.9,0.403,0.597,0.929,0.071,0.94,0,0,0,0,0.06,0,73.39,0
,Mixed,0.785,50028,55089,40.3,0.605,0.395,0.982,0.018,0.977,0,0,0,0.006,0.017,0,120.28,0
,Rural,0.071,58233,80625,54.7,0.424,0.576,1,0,0.939,0,0,0,0,0.061,0,89.96,0
,Rural,0.833,137575,104199,43,0.525,0.475,0.96,0.04,0.98,0.002,0,0,0,0.018,0,95.73,0
,Rural,0.821,22641,66250,51.3,0.507,0.493,0.964,0.036,0.932,0,0,0,0,0.068,0,117.79,0
,Mixed,0.526,56206,59338,44.4,0.529,0.471,0.957,0.043,0.986,0,0,0,0,0.014,0,131.42,0
,Rural,0.824,36545,89954,54,0.458,0.542,1,0,0.986,0,0,0,0,0.014,0,102.59,0
,Mixed,0.828,63315,82188,48.6,0.477,0.523,0.969,0.031,0.971,0,0,0,0.008,0.021,0,134.88,0
,Rural,0.777,49616,82841,46.7,0.574,0.426,1,0,0.992,0,0,0,0,0.008,0,97,0
,Rural,0.762,28834,105000,37.7,0.587,0.413,0.96,0.04,0.969,0.006,0.02,0,0,0.005,0,111.18,0
