Site,State,Storage,Type,Latitude,Longitude,Dry_Assy,Dry_IU,Casks,Pool_Assy,Pool_IU,Site_Assy,Site_IU,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","HMDA/CRA collection year","MSA/MD Code","FIPS state code","FIPS county code","Census tract","Principal city?","Small county code","Small county description","Split tract code","Split tract description","Demographic data code","Demographic data description","Urban/rural code","Urban/rural description","MSA/MD median family income","MSA/MD median household income","Tract median family income as a percentage of the MSA/MD median family income","FFIEC Estimated MSA/MD median family income","Income indicator","CRA poverty criteria?","CRA unemployment criteria?","CRA distressed criteria?","CRA remote rural (low density) criteria?","Previous year CRA distressed criteria?","Previous year CRA underserved criterion?","Meets at least one of current or previous year's CRA distressed/underserved tract criteria?"
Perry,Ohio,Dry/Wet,NPP,41.8008,-81.1433,1877,340.15,27,3055,550.52,4932,890.67,41.7945,-81.145665,0.93,nearest_street,"5 Center Rd",,"Perry, OH 44081",5,"Center Rd",,,Perry,OH,"Lake County",44081,US,"TIGER/Line® from the US Census Bureau",2024,17410,39,085,206300,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,75548,56674,120.11,94100,Upper,No,No,No,No,No,No,No
Davis-Besse,Ohio,Dry/Wet,NPP,41.5967,-83.0864,496,238.02,15,1014,481.96,1510,719.98,41.597282,-83.090675,0.96,rooftop,"5501 State Rte 2",,"Oak Harbor, OH 43449",5501,"State Rte 2",,,"Oak Harbor",OH,"Ottawa County",43449,US,"Ottawa County",2024,41780,39,123,050800,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,75043,58871,113.89,88300,Middle,No,No,No,No,No,No,No
"Shearon Harris","North Carolina",Wet,NPP,35.6333,-78.955,0,0,0,6417,1704.32,6417,1704.32,35.636554,-78.947598,0.92,rooftop,"5301 Shearon Harris Rd",,"New Hill, NC 27562",5301,"Shearon Harris Rd",,,"New Hill",NC,"Wake County",27562,US,"NC Geographic Information Coordinating Council",2024,39580,37,183,053209,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,96929,78706,137.4,122300,Upper,No,No,No,No,No,No,No
McGuire,"North Carolina",Dry/Wet,NPP,35.4325,-80.9483,2287,1023.87,73,2002,910.7,4289,1934.57,35.432308,-80.948533,1,rooftop,"12700 Hagers Ferry Rd",,"Huntersville, NC 28078",12700,"Hagers Ferry Rd",,,Huntersville,NC,"Mecklenburg County",28078,US,Mecklenburg,2024,16740,37,119,006220,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,80486,65725,167.5,100300,Upper,No,No,No,No,No,No,No
Brunswick,"North Carolina",Dry/Wet,NPP,33.9583,-78.0103,3172,561.35,52,2146,470.57,5318,1031.92,33.958782,-78.009959,1,rooftop,"8470 River Rd",,"Southport, NC 28461",8470,"River Rd",,,Southport,NC,"Brunswick County",28461,US,"NC Geographic Information Coordinating Council",2024,48900,37,019,020306,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,75808,58213,140.75,96300,Upper,No,No,No,No,No,No,No
"Nine Mile Point","New York",Dry/Wet,NPP,43.5208,-76.4069,3330,588.36,50,5706,1019.38,9036,1607.74,43.521247,-76.404261,1,rooftop,"348 Lake Rd",,"Oswego, NY 13126",348,"Lake Rd",,,Oswego,NY,"Oswego County",13126,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2024,45060,36,075,021504,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,79766,61890,77.68,94800,Moderate,No,No,No,No,No,No,No
"Indian Point","New York",Dry/Wet,NPP,41.2697,-73.9522,2443,1070.01,77,1558,706.61,4001,1776.62,41.269842,-73.949434,1,rooftop,"450 Broadway",,"Buchanan, NY 10511",450,Broadway,,,Buchanan,NY,"Westchester County",10511,US,Westchester,2024,35614,36,119,014000,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,85483,73561,137.8,101900,Upper,No,No,No,No,No,No,No
Ginna,"New York",Dry/Wet,NPP,43.2778,-77.31,448,163.95,14,1109,416.42,1557,580.37,43.272836,-77.309182,0.94,rooftop,"1487 Lake Rd",,"Ontario, NY 14519",1487,"Lake Rd",,,Ontario,NY,"Wayne County",14519,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2024,40380,36,117,020103,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,79424,61905,119.61,98700,Middle,No,No,No,No,No,No,No
FitzPatrick,"New York",Dry/Wet,NPP,43.5233,-76.3983,2176,389.12,32,2428,448.87,4604,837.99,43.521832,-76.395782,0.97,rooftop,"268 Lake Rd",,"Oswego, NY 13126",268,"Lake Rd",,,Oswego,NY,"Oswego County",13126,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2024,45060,36,075,021504,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,79766,61890,77.68,94800,Moderate,No,No,No,No,No,No,No
"Oyster Creek","New Jersey",Dry/Wet,NPP,39.8147,-74.205,4504,802.24,67,0,0,4504,802.24,39.815159,-74.204636,1,rooftop,"804 S Main St",,"Forked River, NJ 08731",804,"S Main St",,,"Forked River",NJ,"Ocean County",08731,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2024,29484,34,029,732004,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,113495,91851,94.36,135900,Middle,No,No,No,No,No,No,No
"Hope Creek/Salem","New Jersey",Dry/Wet,NPP,39.4678,-75.5381,3752,1078.17,79,5325,1605.75,9077,2683.92,39.4678,-75.5381,0.08,nearest_place,,,"Port Penn, DE 19731",,,,,"Port Penn",DE,,19731,US,"TIGER/Line® dataset from the US Census Bureau",,,,,,,,,,,,,,,,,,,,,,,,,,
Seabrook,"New Hampshire",Dry/Wet,NPP,42.8989,-70.8508,960,439.52,30,727,332.55,1687,772.07,42.898775,-70.849795,1,rooftop,"626 Lafayette Rd",,"Seabrook, NH 03874",626,"Lafayette Rd",,,Seabrook,NH,"Rockingham County",03874,US,"Statewide NH",2024,40484,33,015,063003,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,107377,87124,71.87,138600,Moderate,No,No,No,No,No,No,No
"Fort Calhoun",Nebraska,Dry/Wet,NPP,41.5203,-96.077222,1264,465.98,40,0,0,1264,465.98,41.517128,-96.078987,0.96,nearest_street,"9898 Power Ln",,"Blair, NE 68008",9898,"Power Ln",,,Blair,NE,"Washington County",68008,US,"TIGER/Line® from the US Census Bureau",2024,36540,31,177,050102,No,S,"Small County",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,87733,69439,70.32,109700,Moderate,No,No,No,No,No,No,No
Cooper,Nebraska,Dry/Wet,NPP,40.3619,-95.6414,1830,329.17,30,1626,296.59,3456,625.76,40.36706,-95.645963,0.93,rooftop,"29 5 16 Sec Leased Gov't Land Lb271",,"Brownville, NE 68321",29,"5 16 Sec Leased Gov't Land Lb271",,,Brownville,NE,"Nemaha County",68321,US,Nemaha,2024,99999,31,127,968100,No,S,"Small County",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,70804,55921,99.74,85800,Middle,No,No,No,Yes,No,Yes,Yes
Callaway,Missouri,Dry/Wet,NPP,38.761667,-91.78,1110,465.82,30,1083,461.94,2193,927.76,38.761661,-91.797243,0.85,nearest_street,"8074 State Hwy Cc",,"Steedman, MO 65077",8074,"State Hwy Cc",,,Steedman,MO,"Callaway County",65077,US,"TIGER/Line® from the US Census Bureau",2024,27620,29,027,070200,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,75505,60586,80.06,100500,Middle,No,No,No,No,No,No,No
"Grand Gulf",Mississippi,Dry/Wet,NPP,32.0072,-91.0478,2992,524.73,44,3260,591.65,6252,1116.38,32.007169,-91.047695,1,rooftop,"7003 Bald Hill Rd",,"Port Gibson, MS 39150",7003,"Bald Hill Rd",,,"Port Gibson",MS,"Claiborne County",39150,US,Claiborne,2024,99999,28,021,950100,No,S,"Small County",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,52591,40642,48.13,64400,Low,No,No,No,No,No,No,No
"Prairie Island",Minnesota,Dry/Wet,NPP,44.6217,-92.6331,2000,735.16,50,1087,412.92,3087,1148.08,44.622463,-92.641138,0.94,rooftop,"1717 Wakonade Dr",,"Welch, MN 55089",1717,"Wakonade Dr",,,Welch,MN,"Goodhue County",55089,US,Goodhue,2024,99999,27,049,080202,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,74710,58919,129.87,90300,Upper,No,No,No,No,No,No,No
Monticello,Minnesota,Dry/Wet,NPP,45.3336,-93.8492,1830,317.17,30,1052,183.98,2882,501.15,45.334055,-93.849097,1,rooftop,"2807 County Rd 75 W",,"Monticello, MN 55362",2807,"County Rd 75 W",,,Monticello,MN,"Wright County",55362,US,"Statewide MN",2024,33460,27,171,100203,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,103977,82887,65.83,123700,Moderate,No,No,No,No,No,No,No
Palisades,Michigan,Dry/Wet,NPP,42.3228,-86.3144,1355,552.69,49,698,297.79,2053,850.48,42.323311,-86.314378,1,rooftop,"27780 Blue Star Hwy",,"Covert, MI 49043",27780,"Blue Star Hwy",,,Covert,MI,"Van Buren County",49043,US,Allegan,2024,99999,26,159,010600,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,63042,50885,50.85,78300,Moderate,No,No,No,No,No,No,No
Fermi,Michigan,Dry/Wet,NPP,41.9628,-83.2575,1564,273.96,23,2648,471.77,4212,745.73,41.962897,-83.257318,1,rooftop,"5998 Enrico Fermi Dr",,"Newport, MI 48166",5998,"Enrico Fermi Dr",,,Newport,MI,"Monroe County",48166,US,Semcog,2024,33780,26,115,831202,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,80507,65453,103.84,96500,Middle,No,No,No,No,No,No,No
"D.C. Cook",Michigan,Dry/Wet,NPP,41.975556,-86.565278,1824,794.26,57,2688,1181.03,4512,1975.29,41.969704,-86.565415,0.93,nearest_street,"4572 Livingston Rd",,"Bridgman, MI 49106",4572,"Livingston Rd",,,Bridgman,MI,"Berrien County",49106,US,"TIGER/Line® from the US Census Bureau",2024,35660,26,021,011101,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,67533,52500,122.11,85700,Upper,No,No,No,No,No,No,No
Pilgrim,Massachusetts,Dry/Wet,NPP,41.945,-70.5783,4116,734.82,62,0,0,4116,734.82,41.944183,-70.578501,1,rooftop,"600 Rocky Hill Rd",,"Plymouth, MA 02360",600,"Rocky Hill Rd",,,Plymouth,MA,"Plymouth County",02360,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",2024,14454,25,023,530700,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,112607,90063,108.01,136200,Middle,No,No,No,No,No,No,No
"Calvert Cliffs",Maryland,Dry/Wet,NPP,38.4319,-76.4422,2846,1105.76,100,1411,570.8,4257,1676.56,38.432178,-76.446052,0.97,nearest_street,"513 Camp Convoy Rd",,"Lusby, MD 20657",513,"Camp Convoy Rd",,,Lusby,MD,"Calvert County",20657,US,"TIGER/Line® from the US Census Bureau",2024,30500,24,009,861100,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,115881,103264,112.6,146000,Middle,No,No,No,No,No,No,No
Waterford,Louisiana,Dry/Wet,NPP,29.9953,-90.4711,992,415.14,31,1254,533.11,2246,948.25,29.996466,-90.470888,1,rooftop,"17405 River Rd",,"Killona, LA 70057",17405,"River Rd",,,Killona,LA,"St. Charles Parish",70057,US,"St Charles Parish",2024,35380,22,089,062700,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,68021,51625,118.72,82700,Middle,No,No,No,No,No,No,No
