606,query_coords,latitude,longitude,formatted_address,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacificislander_percent,native_percent
,"32.2983,-97.785",32.2983,-97.785,5470 N FM-56,48,48425,101,3014,4.8425E+14,960,57051,233500,29984,36.5,2619,0.475,0.525,0.625,0.375,0.919,0.044,0,0,0.004
,"35.6028,-84.7894",35.6028,-84.7894,1270 Nuclear Plant Rd,47,47143,975100,2069,4.7144E+14,428,74514,200400,26271,38.3,1225,0.476,0.524,0.985,0.015,0.993,0,0,0,0
,"40.3619,-95.6414",40.3619,-95.6414,64899 727th Rd,31,31127,968100,3068,3.1128E+14,505,80865,207700,42079,43.5,1251,0.541,0.459,0.994,0.006,0.945,0,0,0,0.006
,"32.0072,-91.0478 ",32.0072,-91.0478,6097 Bald Hill Rd,28,28021,950100,3045,2.8022E+14,273,24659,134100,15104,43.3,714,0.539,0.461,1,0,0.19,0.711,0,0,0
,"42.3228,-86.3144",42.3228,-86.3144,27780 Blue Star Hwy,26,26159,10600,2001,2.6159E+14,335,29628,182800,24616,38.3,1055,0.495,0.505,0.723,0.277,0.433,0.507,0,0,0
,"38.2389,-95.6889 ",38.2389,-95.6889,1703 15th Rd SE,20,20031,966100,2193,2.0032E+14,709,80417,144000,47568,51.1,1481,0.517,0.483,0.997,0.003,0.959,0.002,0.018,0,0.001
,"40.1722,-88.835 ",40.1722,-88.835,8401 Power Rd,17,17039,971500,2071,1.704E+14,345,88173,230300,36597,37.8,942,0.566,0.434,1,0,0.995,0.001,0.001,0,0
,"31.9342,-82.3439 ",31.9342,-82.3439,US-1,13,13001,950100,1023,1.3002E+14,313,52344,78100,34919,44.5,780,0.551,0.449,0.878,0.122,0.956,0.039,0,0,0
,"45.3589,-85.1972 ",45.3589,-85.1972,9798 US-31,26,26029,400,3020,2.6029E+14,580,86923,240800,67099,54.3,1209,0.546,0.454,0.993,0.007,0.942,0,0.02,0,0
,"43.9506,-69.6958",43.9506,-69.6958,98 Ready Pt Rd,23,23015,975500,4027,2.3016E+14,264,104314,540600,39221,46.6,939,0.647,0.353,0.996,0.004,0.981,0,0,0,0.007
