606,query_coords,latitude,longitude,formatted_address,state_abbrev,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacificislander_percent,native_percent
58,"34.7039,-87.1186",34.710657,-87.117357,"11250 Nuclear Plant Rd, Athens, AL 35611",AL,01,01083,021101,1099,010830211011099,459.00,1.00,302700.00,75592.00,49.30,1163.00,0.43,0.57,0.97,0.03,0.71,0.25,0.00,0.00,0.00
59,"43.56,-91.2314",43.559383,-91.230257,"S4651 State Highway 35, Genoa, WI 54632",WI,55,55123,960700,3056,5.5124E+14,290.00,0.90,167900.00,72500.00,48.60,581.00,0.56,0.44,1.00,0.00,0.90,0.01,0.00,0.00,0.00
60,"46.0383,-122.885",46.037932,-122.889417,"71760 Columbia River Hwy, Rainier, OR 97048",OR,41,41009,970300,4039,4.101E+14,506.00,0.99,358100.00,77321.00,60.60,1113.00,0.48,0.52,0.96,0.04,0.96,0.00,0.00,0.00,0.02
61,"42.7292,-72.9253",42.731317,-72.931276,"38 Readsboro Rd, Monroe Bridge, MA 01350",MA,25,25011,040100,1008,2.5011E+14,665.00,0.79,269300.00,67981.00,50.70,1165.00,0.52,0.48,0.98,0.02,0.93,0.00,0.00,0.00,0.00
62,"41.3897,-88.2681",41.388328,-88.26856,"6969 N Dresden Rd, Morris, IL 60450",IL,17,17063,000700,1013,1.7063E+14,769.00,0.75,430900.00,139306.00,45.40,1340.00,0.53,0.47,0.95,0.05,1.00,0.00,0.00,0.00,0.00
63,"41.4822,-72.4983",41.48201,-72.498003,"298 Canal Rd, East Hampton, CT 06424",CT,09,09130,590101,3009,091305901013009,841.00,0.83,349100.00,115807.00,50.00,1818.00,0.46,0.54,0.95,0.05,0.91,0.01,0.03,0.00,0.00
64,"40.2456,-104.8775",40.244354,-104.877702,"16805 County Rd 19 1/2, Platteville, CO 80651",CO,08,08123,001800,1086,081230018001086,968.00,0.87,497400.00,112893.00,41.60,2544.00,0.51,0.49,0.69,0.31,0.93,0.00,0.00,0.00,0.00
65,"38.3453,-121.1217",38.343475,-121.122376,"14440 Twin Cities Rd, Herald, CA 95638",CA,06,06067,009406,1003,060670094061003,405.00,0.99,757700.00,98750.00,41.00,1222.00,0.51,0.49,0.72,0.28,0.94,0.00,0.02,0.00,0.00
66,"40.7411,-124.2089",40.740691,-124.210478,"1000 King Salmon Ave, Eureka, CA 95503",CA,06,06023,010702,1009,060230107021009,398.00,0.79,341200.00,403700.00,29.30,723.00,0.47,0.53,1.00,0.00,0.90,0.10,0.00,0.00,0.00
67,"46.6475,-119.5986",46.6475,-119.5986,"Mattawa, WA 99349",WA,53,53005,012000,1002,5.3005E+14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
